City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed,Hemisphere
San Antonio del Norte,HN,13.88,-87.7,84.07,42,40,9.17,Northern
Corni,RO,47.65,26.58,45.81,70,26,14.99,Northern
Hägendorf,CH,47.35,7.82,50.36,71,96,1.57,Northern
Miyoshi City,JP,35.08,137.07,61.5,63,40,3.36,Northern
Brand,AT,47.1,9.74,47.48,71,66,2.24,Northern
Pizzoferrato,IT,41.92,14.24,50.07,76,0,4.7,Northern
Mladá Boleslav,CZ,50.41,14.9,46.29,74,8,8.99,Northern
Sondheim vor der Rhön,DE,50.47,10.16,49.64,69,97,1.83,Northern
Telychka,UA,50.4,30.57,44.49,93,74,8.95,Northern
Freilingen,DE,50.57,7.83,51.39,65,100,1.59,Northern
San Zenone al Lambro,IT,45.33,9.36,61.2,67,86,2.24,Northern
Hurones,ES,42.41,-3.62,63.21,59,69,10.29,Northern
Acquaviva delle Fonti,IT,40.9,16.84,50.76,93,5,5.82,Northern
Vollenhove,NL,52.68,5.95,47.8,80,98,1.9,Northern
Pedreira,BR,-22.74,-46.9,59.0,77,4,8.05,Southern
Malacampa,PH,15.65,120.41,82.4,83,75,2.24,Northern
Rāmnagar,IN,29.39,79.13,70.12,50,0,4.76,Northern
Lirstal,DE,50.25,7.03,54.05,47,98,2.24,Northern
Apeler,DE,53.51,8.67,44.46,93,72,2.24,Northern
Hettenhausen,DE,49.33,7.55,49.37,87,1,1.43,Northern
Calverstown,IE,53.08,-6.8,48.51,87,20,12.75,Northern
Someshwar,IN,13.5,75.07,76.96,83,100,1.66,Northern
Al Hazm,YE,16.16,44.78,81.5,31,20,4.7,Northern
Marcellus,FR,44.48,0.08,66.61,62,100,5.01,Northern
Crinitz,DE,51.73,13.77,42.71,86,75,1.12,Northern
Casa de Uceda,ES,40.84,-3.37,64.65,95,53,1.23,Northern
Kleinerdlingen,DE,48.83,10.48,47.95,70,31,3.47,Northern
Osterhorn,DE,53.87,9.7,42.03,85,84,3.33,Northern
Sidonganti,ID,-6.92,111.82,74.88,93,84,4.41,Southern
Belmonte,PT,37.05,-7.86,66.11,88,75,5.82,Northern
Yatton,GB,51.97,-2.53,56.01,86,56,1.01,Northern
Sinagar,ID,-7.58,108.32,73.4,92,100,2.84,Southern
Parabiago,IT,45.55,8.95,58.84,71,94,3.36,Northern
Wangbao,CN,40.15,120.13,52.77,95,100,4.99,Northern
Saint-Marcel-lès-Sauzet,FR,44.6,4.81,61.0,57,88,3.83,Northern
Scharnhausen,DE,48.71,9.26,52.23,71,59,1.12,Northern
San Pedro del Valle,ES,41.03,-5.86,60.8,77,41,2.24,Northern
St Leonards,GB,50.83,-1.85,51.39,90,100,2.19,Northern
Clyde,US,41.3,-82.98,62.04,17,37,11.01,Northern
Thiergarten,DE,49.68,6.98,51.46,56,100,0.76,Northern
El Porvenir,PA,9.57,-78.95,82.49,84,100,11.21,Northern
Alcázar de San Juan,ES,39.28,-3.26,63.82,58,38,7.0,Northern
Galeyevka,BY,53.53,29.87,39.09,83,12,7.43,Northern
Doloon,MN,44.42,105.32,50.97,45,100,7.96,Northern
Rottorf,DE,52.26,10.84,46.45,84,89,2.15,Northern
Viga,PH,13.87,124.31,83.14,72,80,3.11,Northern
Vila Chã de Ourique,PT,39.17,-8.77,60.69,93,64,1.01,Northern
Shenlin,CN,35.58,105.92,46.0,77,100,16.17,Northern
Enugu-Ezike,NG,6.98,7.46,75.4,94,90,4.34,Northern
Lucena City,PH,13.93,121.62,84.0,84,75,1.01,Northern
Diaotai,CN,34.29,108.69,62.91,87,100,8.95,Northern
Reana del Rojale,IT,46.14,13.25,55.0,79,0,1.99,Northern
Pegalajar,ES,37.74,-3.65,70.0,43,22,1.01,Northern
Lake Telemark,US,40.96,-74.5,60.66,30,33,8.66,Northern
Tlalpan,MX,19.28,-99.17,60.13,45,75,16.11,Northern
Großlittgen,DE,50.03,6.8,56.14,50,75,2.26,Northern
Langerwehe,DE,50.82,6.35,54.27,66,75,1.12,Northern
Iwanai,JP,42.97,140.51,57.38,38,34,5.26,Northern
Kattisavan,SE,64.75,18.15,25.56,79,0,2.48,Northern
Matelândia,BR,-25.24,-53.98,55.4,76,0,4.7,Southern
Luc-Armau,FR,43.42,-0.07,66.2,77,100,5.82,Northern
Río Cuarto,AR,-33.13,-64.35,59.0,54,2,10.29,Southern
Lowden,AU,-33.53,115.97,48.51,98,14,2.77,Southern
Mühlethurnen,CH,46.81,7.51,50.94,93,100,2.24,Northern
Kohima,IN,25.67,94.12,57.07,93,13,1.83,Northern
Geroldswil,CH,47.42,8.41,49.32,71,83,3.36,Northern
Pueblo Nuevo Viñas,GT,14.22,-90.48,84.85,53,75,11.41,Northern
Pettigoe,IE,54.55,-7.83,55.4,87,40,10.29,Northern
Santa Fe,PH,8.34,124.78,81.0,77,4,3.0,Northern
Rodezno,ES,42.53,-2.85,69.82,49,20,14.99,Northern
Pfatter,DE,48.97,12.38,47.5,74,33,1.45,Northern
Itabirito,BR,-20.25,-43.8,58.59,86,98,5.23,Southern
Iteng,ID,-8.81,120.42,79.07,82,63,5.5,Southern
Mollens,CH,46.58,6.36,56.84,82,100,1.07,Northern
Phanom Thuan,TH,14.13,99.7,82.99,74,65,3.33,Northern
Wanshi,CN,30.1,119.57,74.03,93,11,3.11,Northern
Princeton,US,25.54,-80.41,79.48,51,1,11.41,Northern
Corato,IT,41.15,16.41,55.08,76,0,6.93,Northern
Sébaco,NI,12.85,-86.1,88.23,41,28,12.35,Northern
La Jacqueminière,FR,48.0,3.08,50.63,78,99,6.93,Northern
Keljonkangas,FI,62.19,25.71,30.81,86,2,2.24,Northern
Saint-Front-sur-Nizonne,FR,45.48,0.64,63.57,66,98,1.99,Northern
Grundy Center,US,42.36,-92.77,61.0,47,100,8.01,Northern
Murias de Paredes,ES,42.85,-6.19,56.68,59,40,13.87,Northern
L'Isle-Verte,CA,48.01,-69.34,41.67,72,32,0.63,Northern
Sannicola,IT,40.09,18.07,55.18,87,5,9.17,Northern
Piketon,US,39.07,-83.01,64.69,29,75,12.75,Northern
Città di Castello,IT,43.47,12.23,46.99,83,0,1.01,Northern
Trussville,US,33.62,-86.61,67.1,30,1,3.36,Northern
Santiago de la Puebla,ES,40.8,-5.28,60.91,77,65,2.24,Northern
Megara,GR,38.0,23.35,58.73,50,0,11.27,Northern
Pendé,FR,50.17,1.58,51.35,62,100,4.7,Northern
Oberstadtfeld,DE,50.18,6.77,55.8,47,100,2.24,Northern
Butjadingen,DE,53.55,8.34,44.78,93,68,2.24,Northern
Kleinbouslar,DE,51.03,6.35,52.45,57,100,0.87,Northern
Şiran,TR,40.19,39.13,55.4,66,90,6.93,Northern
Wertingen,DE,48.55,10.68,45.46,75,23,3.36,Northern
Saint-Molf,FR,47.38,-2.42,57.31,77,99,5.82,Northern
Emmering,DE,48.18,11.28,45.09,75,17,3.36,Northern
Albert,AU,-32.35,147.5,63.07,60,0,15.12,Southern
Caso,ES,43.18,-5.34,55.4,80,59,1.01,Northern
Sommersdorf,DE,52.17,11.08,46.71,71,83,2.62,Northern
Borodino,RU,55.91,94.9,38.7,83,75,14.85,Northern
Arrondissement de Langon,FR,44.5,-0.33,66.33,67,87,1.01,Northern
Vaires-sur-Marne,FR,48.88,2.64,56.03,50,97,5.82,Northern
White Hall,US,34.27,-92.09,68.92,40,1,8.05,Northern
Krynica Morska,PL,54.38,19.44,41.76,93,0,2.24,Northern
Kuršanec,HR,46.33,16.4,48.51,77,0,1.01,Northern
Banalo,PH,13.65,121.18,84.0,84,92,1.01,Northern
Macclesfield,AU,-35.18,138.83,54.84,91,2,1.99,Southern
Alt Mölln,DE,53.62,10.65,43.07,78,96,3.47,Northern
Kilembe,UG,0.2,30.0,62.02,77,72,2.3,Northern
Biskupice Radłowskie,PL,50.12,20.86,47.03,67,44,8.99,Northern
Ermesinde,PT,41.22,-8.55,61.72,93,75,3.36,Northern
Holzhausen,DE,48.43,10.82,44.22,75,20,3.36,Northern
Vurğun,AZ,41.09,45.48,55.02,63,96,6.49,Northern
Krasnaya Zarya,RU,52.78,37.68,45.72,84,37,4.83,Northern
Gallatin,US,45.67,-111.2,49.78,53,20,2.84,Northern
Liebenstein,DE,50.77,10.85,47.17,66,94,5.82,Northern
Swanport,AU,-35.15,139.3,54.54,91,0,1.99,Southern
Uyut,RU,55.95,50.29,58.44,78,100,6.89,Northern
Yarmouth,CA,43.83,-66.12,45.19,81,75,13.87,Northern
Ballin,DE,53.45,13.43,43.88,90,62,5.06,Northern
Bamaga,AU,-10.89,142.39,82.4,69,40,16.11,Southern
Köngen,DE,48.68,9.37,50.99,71,51,1.12,Northern
Wan Yai,TH,16.72,104.74,81.0,82,69,2.64,Northern
Nagyoroszi,HU,48.01,19.09,47.37,61,0,2.24,Northern
Montegiorgio,IT,43.13,13.54,52.97,36,0,3.8,Northern
‘Azzūn,PS,32.17,35.06,63.23,77,0,1.12,Northern
el Pla del Penedès,ES,41.42,1.72,60.82,88,100,1.99,Northern
Taourirt,MA,34.41,-2.9,66.2,72,75,4.7,Northern
Sanad,RS,45.98,20.11,46.72,80,0,5.79,Northern
Ain Fakroun,DZ,35.97,6.88,66.78,68,86,6.93,Northern
Elmore,AU,-36.5,144.6,53.96,88,0,5.73,Southern
Buckley,US,47.16,-122.03,68.5,40,0,1.99,Northern
Dimbokro,CI,6.65,-4.7,76.69,96,68,4.25,Northern
Ickenham,GB,51.56,-0.44,56.28,58,100,3.36,Northern
Abryudkovo,RU,55.38,39.15,51.8,76,44,6.71,Northern
Cibitung,ID,-7.12,107.13,67.12,97,67,1.16,Southern
Glaine-Montaigut,FR,45.76,3.39,60.8,77,100,3.36,Northern
Demyansk,RU,57.64,32.47,40.51,87,100,5.82,Northern
Yeola,IN,20.03,74.48,75.54,44,0,13.49,Northern
Rippersroda,DE,50.77,10.87,47.21,66,93,5.82,Northern
Sareptskiy Perekat,RU,48.57,44.6,55.2,100,90,2.24,Northern
Plovdiv,BG,42.15,24.75,54.7,44,75,17.22,Northern
Thermopolis,US,43.65,-108.21,47.52,43,90,33.33,Northern
Grão Mogol,BR,-16.56,-42.89,67.12,92,89,1.79,Southern
Notre-Dame-du-Touchet,FR,48.58,-0.96,54.52,76,100,3.36,Northern
Kara-Kulja,KG,40.63,73.59,55.4,76,75,4.47,Northern
Xinlong,CN,25.2,114.6,77.99,85,18,5.95,Northern
Blignicourt,FR,48.46,4.53,50.23,81,95,1.12,Northern
Garbayuela,ES,39.05,-5.0,59.4,82,27,4.43,Northern
Valla,SE,63.55,13.8,37.4,69,70,5.82,Northern
Waarschoot,BE,51.15,3.61,50.41,66,100,2.84,Northern
Freneuse,FR,49.05,1.6,53.15,62,98,3.36,Northern
Placitas,US,35.31,-106.42,81.34,8,57,17.0,Northern
Lakewood,AU,-30.8,121.53,46.4,81,75,9.17,Southern
Kawitan,ID,-7.51,108.27,72.88,91,99,2.8,Southern
Yabutani,JP,34.8,134.47,57.09,62,75,3.36,Northern
Québec,CA,46.81,-71.21,56.14,24,20,10.29,Northern
Sonsbeck,DE,51.62,6.37,52.11,60,100,3.0,Northern
Lindenfels,DE,49.69,8.78,53.71,49,98,2.73,Northern
Canguaretama,BR,-6.38,-35.13,75.94,87,18,7.38,Southern
Sudley,US,38.79,-77.5,65.53,22,40,12.75,Northern
Bacqueville-en-Caux,FR,49.79,1.0,55.0,63,100,5.01,Northern
Verchères,CA,45.77,-73.36,55.65,39,79,5.99,Northern
Fitzen,DE,53.49,10.65,41.95,96,97,3.0,Northern
Cabasse,FR,43.43,6.22,54.63,71,96,2.06,Northern
Lignan-de-Bazas,FR,44.43,-0.28,66.33,73,92,7.18,Northern
Jever,DE,53.58,7.9,39.2,86,75,2.24,Northern
San Giovanni al Natisone,IT,45.98,13.4,53.04,79,0,1.99,Northern
Saint-Sever,FR,43.76,-0.57,66.74,72,99,4.7,Northern
Glasco,US,42.04,-73.95,60.6,34,99,9.75,Northern
Haizhou,CN,34.58,119.13,64.18,92,100,11.65,Northern
Borallon,AU,-27.53,152.68,63.52,82,11,1.12,Southern
Jorcas,ES,40.54,-0.75,57.47,76,97,6.93,Northern
Pozos de Hinojo,ES,40.91,-6.41,57.16,88,71,5.53,Northern
Cadalso,ES,40.24,-6.54,60.98,81,77,1.83,Northern
Roddenagh,IE,52.86,-6.37,45.0,94,69,2.68,Northern
Toledo,CO,7.31,-72.48,95.0,36,20,13.87,Northern
Tiantang,CN,34.92,107.55,53.76,78,100,10.89,Northern
Medinilla,ES,40.44,-5.62,60.8,77,53,2.24,Northern
Malaya Vishera,RU,58.85,32.22,35.62,85,77,5.57,Northern
Twin Grove,US,40.49,-89.08,63.86,36,40,18.34,Northern
Gongli,CN,34.83,109.14,60.8,87,100,8.95,Northern
Shanshi,CN,27.29,114.06,78.31,84,0,2.84,Northern
Alappuzha,IN,9.49,76.33,81.45,86,82,4.12,Northern
Kavala,GR,40.94,24.4,51.3,81,6,1.99,Northern
Gata,ES,40.24,-6.6,57.34,89,75,2.15,Northern
Başçiftlik,TR,40.55,37.17,42.6,100,100,3.0,Northern
Burgstall,IT,46.61,11.19,45.7,70,5,3.36,Northern
Thon Buri,TH,13.72,100.49,86.18,83,20,8.05,Northern
Znamenka,RU,52.42,41.43,55.78,79,100,5.97,Northern
Asia,PH,9.55,122.52,83.61,73,78,3.91,Northern
Aldridge,GB,52.61,-1.92,55.02,64,18,4.76,Northern
Oppido Mamertina,IT,38.29,15.98,59.95,76,0,5.82,Northern
Ambel,ES,41.79,-1.62,67.33,59,99,13.87,Northern
Corinto,BR,-18.38,-44.46,66.76,91,99,1.34,Southern
Departamento del Huila,CO,2.5,-75.75,71.06,78,77,1.3,Northern
Jurançon,FR,43.29,-0.39,66.43,68,100,3.36,Northern
Cropalati,IT,39.52,16.73,51.78,79,0,1.01,Northern
Taquaritinga,BR,-21.41,-48.5,59.63,89,53,8.32,Southern
Skoki,PL,52.67,17.16,43.99,87,2,2.24,Northern
Newark on Trent,GB,53.07,-0.82,54.97,64,9,1.01,Northern
Niedertaufkirchen,DE,48.33,12.55,46.99,95,1,2.66,Northern
Wattrelos,FR,50.7,3.22,52.43,54,100,8.05,Northern
Le Buisson-de-Cadouin,FR,44.85,0.92,64.35,63,100,5.82,Northern
Matchino,RU,55.25,37.79,46.89,70,20,6.71,Northern
Cihonje,ID,-7.19,108.19,70.86,90,97,1.28,Southern
Qiryat Arba‘,PS,31.53,35.12,63.0,62,0,0.89,Northern
San Juan del Cesar,CO,10.77,-73.0,85.26,65,83,5.06,Northern
Orleans,US,43.25,-78.23,44.33,73,76,1.01,Northern
Radnevo,BG,42.3,25.93,55.4,58,40,9.17,Northern
Leciñena,ES,41.86,-0.65,69.33,41,100,12.37,Northern
Niami Kalag,PK,25.85,63.46,74.75,62,57,0.76,Northern
Torralba de los Frailes,ES,41.04,-1.66,58.35,72,94,4.7,Northern
Gol’yanovo,RU,55.82,37.82,51.69,93,39,6.71,Northern
Andelat,FR,45.06,3.06,57.2,71,100,6.93,Northern
Tetiiv,UA,49.38,29.66,42.42,90,80,11.1,Northern
Compton,AU,-37.77,140.68,51.8,100,90,10.29,Southern
Kijingan,ID,-6.75,111.12,76.84,89,41,2.93,Southern
Capital Region,DK,55.83,12.33,47.26,90,76,13.0,Northern
Phulpur,IN,25.55,82.1,82.51,30,0,5.99,Northern
Rock Hill,US,34.92,-81.03,65.86,32,1,10.29,Northern
Riva,US,38.95,-76.58,65.5,29,1,9.17,Northern
Villafruela,ES,41.92,-3.91,62.58,59,86,10.29,Northern
Varshavka,RU,54.38,56.11,48.2,70,16,2.24,Northern
Azmannsdorf,DE,50.98,11.1,49.46,73,77,5.82,Northern
Neuenkirchen,DE,52.24,7.37,46.99,61,99,1.12,Northern
Philo,US,40.01,-88.16,64.71,36,20,14.99,Northern
Lödderitz,DE,51.88,11.95,46.35,76,63,3.74,Northern
Saint-Martin-des-Olmes,FR,45.53,3.8,59.86,62,97,5.82,Northern
Baarleveld,BE,51.05,3.61,49.55,96,100,2.91,Northern
Saint-Priest-en-Jarez,FR,45.47,4.37,59.47,62,98,5.82,Northern
Michałowice,PL,52.17,20.89,50.22,53,31,6.93,Northern
Clarendon,US,34.94,-100.89,92.55,19,87,8.61,Northern
Tunoshna,RU,57.55,40.13,53.6,100,99,4.47,Northern
Ondarroa,ES,43.32,-2.42,68.09,88,100,3.36,Northern
Bad Kohlgrub,DE,47.67,11.05,43.05,70,24,2.24,Northern
Mayskiy,RU,47.69,40.1,55.4,76,40,6.71,Northern
Pestovo,RU,58.59,35.8,43.07,94,100,8.32,Northern
Merlin,US,42.52,-123.42,78.3,15,1,3.36,Northern
George Enescu,RO,48.03,26.48,46.96,70,13,14.99,Northern
Zhilino,RU,56.07,37.25,50.0,93,50,6.71,Northern
Gmina Grabica,PL,51.48,19.53,45.68,78,58,4.0,Northern
Unterwollanig,AT,46.64,13.83,48.06,66,0,2.24,Northern
Bezirk Thierstein,CH,47.38,7.55,52.3,69,100,1.01,Northern
Opopeo,MX,19.4,-101.6,71.01,52,74,5.01,Northern
Sefferweich,DE,50.07,6.52,52.43,50,75,3.24,Northern
Shelukhino,RU,55.2,38.86,50.36,76,50,6.71,Northern
Balduinstein,DE,50.35,7.97,50.34,64,100,0.31,Northern
Arija,ES,42.99,-3.94,63.93,100,82,4.72,Northern
Prösen,DE,51.43,13.5,44.04,81,28,3.36,Northern
Mamedkala,RU,42.17,48.12,58.37,87,100,2.93,Northern
Ban Chun Luang,TH,19.3,100.17,77.34,82,86,3.29,Northern
Canencia,ES,40.91,-3.74,64.35,44,87,5.95,Northern
Fruges,FR,50.52,2.13,53.82,62,99,4.7,Northern
Ruhpolding,DE,47.77,12.65,44.13,75,0,5.82,Northern
Sukawangi,ID,-7.47,107.94,66.79,99,89,2.42,Southern
Tribuswinkel,AT,48.01,16.27,50.32,61,0,3.0,Northern
Kloposawit Krajan,ID,-8.15,113.08,74.1,86,65,0.31,Southern
Norderheistedt,DE,54.25,9.15,39.85,86,20,2.24,Northern
Jeziorna Oborska,PL,52.08,21.12,51.62,53,27,6.93,Northern
Boddin,DE,53.94,12.65,44.6,87,75,1.12,Northern
Ramygala,LT,55.52,24.3,41.0,60,22,2.24,Northern
Delok,ID,-6.71,111.24,77.43,88,37,5.55,Southern
Pisang,ID,-8.47,118.76,78.8,88,30,3.62,Southern
Tanout,NE,14.97,8.89,82.94,14,0,11.07,Northern
Moundville,US,33.0,-87.63,71.53,30,1,2.82,Northern
Narathiwat,TH,6.33,101.75,78.37,94,20,2.24,Northern
Zliv,CZ,49.07,14.37,46.0,63,3,2.39,Northern
Hornstorf,DE,53.92,11.53,44.35,87,100,3.0,Northern
Adelsdorf,DE,49.48,10.68,49.14,50,1,4.16,Northern
Las Lomas,US,26.36,-98.78,90.66,57,61,3.0,Northern
Bustillo de Chaves,ES,42.13,-5.09,60.96,81,82,1.99,Northern
Bredene,BE,51.23,2.98,50.29,57,100,3.36,Northern
Dalkola,IN,25.85,87.85,78.26,45,8,6.17,Northern
Veríssimo,BR,-19.66,-48.31,62.89,91,98,7.94,Southern
Autenhausen,DE,50.23,10.78,46.33,68,97,1.01,Northern
Capim Branco,BR,-19.55,-44.12,64.4,93,75,8.05,Southern
Edithburgh,AU,-35.1,137.73,59.99,71,0,14.16,Southern
Finisterra,ES,42.9,-9.26,58.59,75,88,5.01,Northern
Pokój,PL,50.9,17.84,39.99,100,0,4.43,Northern
Tamames,ES,40.66,-6.11,60.8,77,70,2.24,Northern
Nova Gorica,SI,45.96,13.65,52.63,80,1,3.06,Northern
Liuzhi,CN,30.88,114.49,68.0,100,75,13.42,Northern
Peñarroya-Pueblonuevo,ES,38.31,-5.24,65.43,59,0,2.24,Northern
Neuville-Saint-Vaast,FR,50.35,2.77,52.66,70,99,1.01,Northern
Albany,US,42.6,-73.97,60.01,35,75,1.99,Northern
Simmersfeld,DE,48.62,8.52,53.98,76,83,4.09,Northern
